Query,ISO,Language,Type,Plurality,Gender,Case,Demonym,Attributes,Canonical
Oekraïens,nl,Dutch,Adjective,Singular,Neuter,-,No,A-S-N,FALSE
Oekraïense,nl,Dutch,Adjective,Singular,Common,-,No,A-S,FALSE
Oekraïne,nl,Dutch,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Oekraïner,nl,Dutch,Noun,Singular,Common,-,Yes,N-S,FALSE
Oekraïners,nl,Dutch,Noun,Plural,Common,-,Yes,N-P,FALSE
Oekraïnes,nl,Dutch,Noun,Singular,Feminine,Genitive,No,N-S-F-Gen,FALSE
Ucraina,it,Italian,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Ucraina,ro,Romanian,Noun,Singular,Feminine,"Nominative, Accusative",No,N-S-F-Acc/Nom,TRUE
Ucrainei,ro,Romanian,Noun,Singular,Feminine,"Genitive, Dative",No,N-S-F-Dat/Gen,FALSE
Ucrania,es,Spanish,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Ucraïna,ca,Catalan,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Ucrânia,pt,Portuguese,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Ukraina,et,Estonian,Noun,Singular,-,"Multiple Cases (Nominative, Genitive, etc.)",No,N-S---Gen,TRUE
Ukraina,fi,Finnish,Noun,Singular,-,"Multiple Cases (Nominative, Genitive, etc.)",No,N-S---Gen,TRUE
Ukraina,id,Indonesian,Noun,Singular,-,-,No,N-S,TRUE
Ukraina,no,Norwegian,Noun,Singular,Feminine/Common,-,No,N-S,TRUE
Ukraina,pl,Polish,Noun,Singular,Feminine,"All Cases (Nominative, Genitive, etc.)",No,N-S-F-Gen,TRUE
Ukraina,sv,Swedish,Noun,Singular,Common,-,No,N-S,TRUE
Ukraina,vi,Vietnamese,Noun,Singular,-,-,No,N-S,TRUE
Ukrainaga,et,Estonian,Noun,Singular,-,Comitative,No,N-S,FALSE
Ukrainale,et,Estonian,Noun,Singular,-,Allative,No,N-S,FALSE
Ukrainas,et,Estonian,Noun,Singular,-,Inessive,No,N-S,FALSE
Ukrainasse,et,Estonian,Noun,Singular,-,Illative,No,N-S,FALSE
Ukrainast,et,Estonian,Noun,Singular,-,Elative,No,N-S,FALSE
Ukrainat,et,Estonian,Noun,Singular,-,Partitive,No,N-S,FALSE
Ukraine,da,Danish,Noun,Singular,Common,-,No,N-S,TRUE
Ukraine,de,German,Noun,Singular,Feminine,"Nominative, Genitive, Dative, Accusative",No,N-S-F-Acc/Dat/Gen/Nom,TRUE
Ukraine,en,English,Noun,Singular,-,-,No,N-S,TRUE
Ukraine,fr,French,Noun,Singular,Feminine,-,No,N-S-F,TRUE
Ukrainer,de,German,Noun,"Singular, Plural",Masculine,-,Yes,N-P/S-M,FALSE
